

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
"2303  ","聯電  ","40472200","7702","634735857","15.85","15.85","15.6","15.65","-","0.1","15.65","31","15.7","1,095","23.36"
"2305  ","全友  ","962661","389","9393879","9.4","9.83","9.4","9.72","+","0.2","9.72","18","9.75","31","18"
"2308  ","台達電","8228978","5187","1662806076","201.5","203","199.5","202","+","2","200.5","5","202","176","24.13"
"2311  ","日月光","33552386","13175","1394509076","42","42.3","41","41.9","+","0.6","41.85","1","41.9","111","15.4"
"2312  ","金寶  ","6544309","2096","95326938","14.65","14.75","14.5","14.55","-","0.1","14.5","1,236","14.55","81","10.25"
"2313  ","華通  ","4870965","1534","84245142","17.4","17.45","17.2","17.3","-","0.05","17.25","284","17.3","41","11.02"
"2314  ","台揚  ","480243","198","6580491","13.9","13.95","13.6","13.7","-","0.15","13.7","20","13.75","28","0.00"
"2316  ","楠梓電","761174","209","11038358","14.6","14.65","14.45","14.5","-","0.1","14.5","39","14.55","56","15.43"
"2317  ","鴻海  ","40774161","17786","3485381753","85.2","86.4","84.5","86.2","+","1.4","86.2","381","86.3","474","10.95"
"2321  ","東訊  ","17986","8","44489","2.46","2.46","2.46","2.46","-","0.08","2.45","10","2.46","5","0.00"
"2323  ","中環  ","3687842","512","15954278","4.38","4.38","4.31","4.31","-","0.02","4.31","168","4.32","6","0.00"
"2324  ","仁寶  ","8789322","3868","198672513","22.65","22.7","22.5","22.7","+","0.1","22.65","5","22.7","1,306","19.08"
"2325  ","矽品  ","11888456","4675","631257506","54","54.3","52.6","53.5","-","0.3","53.3","203","53.5","75","15.2"
"2327  ","國巨  ","1636534","1068","94782000","57.8","58.9","57.1","58.5","+","0.7","58.3","34","58.5","17","11.16"
"2328  ","廣宇  ","341114","178","6115827","18.1","18.1","17.9","17.9","-","0.15","17.9","6","17.95","2","24.52"
"2329  ","華泰  ","6335220","1514","85537500","13.7","13.8","13.35","13.5","-","0.2","13.45","92","13.5","77","25.47"
"2330  ","台積電","35027816","10815","5193362537","149.5","149.5","147.5","148.5","+","0.5","148","20","148.5","1,570","16.84"
"2331  ","精英  ","1981085","1331","50195824","25.55","25.7","25.05","25.05","-","0.5","25.05","99","25.2","1","3.75"
"2332  ","友訊  ","1109318","474","19165660","17.4","17.45","17.15","17.35","-","0.05","17.3","4","17.35","6","34.02"
"2337  ","旺宏  ","3187581","1201","21675939","6.81","6.84","6.77","6.8","+","0.01","6.79","23","6.8","5","0.00"
"2338  ","光罩  ","160110","83","1586610","9.99","9.99","9.88","9.88","-","0.02","9.88","4","9.92","17","31.87"
"2340  ","光磊  ","741196","252","9695148","13.1","13.2","13.05","13.05","-","0.05","13.05","52","13.1","50","13.59"
"2342  ","茂矽  ","410003","197","2810578","6.86","6.95","6.81","6.85","-","0.01","6.84","5","6.85","14","0.00"
"2344  ","華邦電","27735774","4284","291443517","10.5","10.6","10.4","10.5","+","0.2","10.45","1,474","10.5","67","12.65"
"2345  ","智邦  ","533202","295","8319284","15.65","15.7","15.55","15.55","-","0.05","15.55","75","15.6","27","14.67"
"2347  ","聯強  ","1116572","824","50474196","45.6","45.6","45.05","45.1","-","0.4","45.05","67","45.1","4","14.36"
"2348  ","海悅  ","9","3","329","--","--","--","--"," ","0","--","0","41.6","1","5.74"
"2349  ","錸德  ","4400706","649","15700631","3.61","3.63","3.55","3.56","-","0.04","3.56","491","3.57","51","0.00"
"2351  ","順德  ","1865704","1000","82639657","43.4","44.95","43.2","44.6","+","1.3","44.55","6","44.6","11","12.85"
"2352  ","佳世達","4006590","1108","56840351","14.3","14.3","14.1","14.15","-","0.05","14.15","12","14.2","90","9.96"
"2353  ","宏碁  ","18863973","6527","380012581","19.95","20.3","19.95","20.2","+","0.25","20.15","261","20.2","1,050","0.00"
"2354  ","鴻準  ","6149667","4025","489065270","80","80.5","78.5","80.5","+","0.5","80.4","6","80.5","27","15.33"
"2355  ","敬鵬  ","2207190","1157","120763407","54.2","55.2","53.8","54.8","+","0.7","54.7","26","54.9","40","12.96"
"2356  ","英業達","8437137","2884","192921365","23","23","22.75","22.95","+","0.2","22.9","14","22.95","125","11.77"
"2357  ","華碩  ","3703064","2463","1200944706","329","329","321","323.5","-","6.5","323","7","323.5","15","11.63"
"2358  ","廷鑫  ","59574","42","714679","11.95","12.1","11.95","11.95","-","0.05","11.95","4","12.05","14","0.00"
"2359  ","所羅門","363925","150","6523906","18","18.05","17.8","17.95","-","0.05","17.9","10","17.95","11","11.89"
"2360  ","致茂  ","909500","560","70009050","76","78","76","77.5","+","0.7","77.5","3","77.6","3","22.79"
"2361  ","鴻友  ","20189","12","42500","2.11","2.11","2.11","2.11","+","0.12","2.11","84","2.12","2","0.00"
"2362  ","藍天  ","327135","255","15803689","48.4","48.45","48.15","48.3","-","0.1","48.3","35","48.35","18","15.94"
"2363  ","矽統  ","928668","367","8037356","8.72","8.76","8.56","8.63","-","0.07","8.63","4","8.64","15","0.00"
"2364  ","倫飛  ","535267","83","1604045","3.16","3.16","2.96","2.98","-","0.1","2.98","15","3","6","0.00"
"2365  ","昆盈  ","478443","209","5431196","11.55","11.55","11.25","11.35","-","0.2","11.3","34","11.35","16","283.75"
"2367  ","燿華  ","3007052","928","42404328","14.25","14.25","13.95","14.05","-","0.15","14.05","80","14.1","150","32.67"
"2368  ","金像電","6661633","2406","133874794","20","20.35","19.8","20.25","+","0.35","20.2","80","20.25","139","0.00"
"2369  ","菱生  ","638060","307","9494040","14.85","15","14.8","14.95","+","0.1","14.9","8","14.95","11","21.99"
"2371  ","大同  ","3978332","774","34327098","8.63","8.7","8.59","8.7","+","0.09","8.65","2","8.7","29","16.11"
"2373  ","震旦行","41842","26","2236591","53.2","53.6","53.2","53.6"," ","0","53.2","30","53.6","5","14.26"
"2374  ","佳能  ","897305","408","17054051","19.2","19.3","18.85","19"," ","0","18.95","2","19","49","73.08"
"2375  ","智寶  ","665635","277","9081379","13.9","13.95","13.5","13.7","-","0.2","13.65","7","13.7","2","2.31"
"2376  ","技嘉  ","1890530","879","73352754","38.7","39","38.7","38.9","+","0.1","38.9","5","38.95","28","10.6"
"2377  ","微星  ","4773921","2349","184085311","38.6","38.85","38.3","38.5","+","0.15","38.45","7","38.5","2","10.88"
"2379  ","瑞昱  ","1876389","1433","187048829","99.7","100","99.2","99.8","+","0.3","99.8","3","99.9","35","12.49"
"2380  ","虹光  ","134385","59","1215808","9","9.15","9","9.04","-","0.04","9.04","10","9.07","20","0.00"
"2382  ","廣達  ","6023170","2759","470141567","78.5","78.5","77.7","78.5","+","0.5","78.2","8","78.5","383","15.96"
"2383  ","台光電","2167246","1308","95376870","44","44.25","43.8","43.9","+","0.2","43.9","10","44","22","11.61"
"2385  ","群光  ","870121","625","75989261","87","87.7","86.8","87.7","+","0.9","87.4","1","87.7","33","15.6"
"2387  ","精元  ","3221554","1280","63816174","19.75","20.05","19.45","19.9","+","0.2","19.9","20","19.95","6","14.32"
"2388  ","威盛  ","137815","88","1502134","10.85","11.1","10.7","10.95","+","0.1","10.9","13","10.95","21","0.00"
"2390  ","云辰  ","1556374","772","55153693","36.15","36.15","35.1","35.2","-","0.65","35.2","15","35.35","2","0.00"
"2392  ","正崴  ","994808","563","54603808","55.2","55.4","54.7","54.8","-","0.4","54.8","51","54.9","20","17.23"
"2393  ","億光  ","4451272","2781","347585860","77.5","78.5","77.4","78.3","+","1.5","78.2","1","78.3","66","16.91"
"2395  ","研華  ","1943147","1184","465430748","240.5","241","237.5","241","+","0.5","240.5","5","241","11","32.26"
"2397  ","友通  ","128200","69","4662220","36.4","36.5","36.3","36.3","-","0.1","36.3","17","36.35","1","14.12"
"2399  ","映泰  ","118000","41","1325000","11.15","11.25","11.15","11.25","+","0.1","11.25","1","11.3","36","16.79"
"2401  ","凌陽  ","2260920","761","29054267","12.9","12.95","12.75","12.8","-","0.1","12.8","133","12.85","7","22.07"
"2402  ","毅嘉  ","2235783","1068","71751639","32.15","32.3","32","32.05","-","0.1","32.05","4","32.1","9","10.86"
"2404  ","漢唐  ","407234","247","12829705","31.5","31.6","31.4","31.6","+","0.2","31.5","1","31.6","52","10.39"
"2405  ","浩鑫  ","715287","312","5974882","8.49","8.5","8.3","8.34","-","0.09","8.33","6","8.34","4","0.00"
"2406  ","國碩  ","1435389","663","36715740","25.75","25.95","25.4","25.4","-","0.2","25.4","55","25.45","5","0.00"
"2408  ","南亞科","2254291","1601","175485043","77.5","78.4","77.2","78","+","0.3","78","1","78.1","1","7.94"
"2409  ","友達  ","37633457","7134","640403705","17.15","17.15","16.9","17.05","+","0.1","17","1,818","17.05","378","13.02"
"2412  ","中華電","11208069","3959","1079420624","96","96.5","95.9","96.5","+","0.5","96.3","118","96.5","1,262","18.81"
"2413  ","環科  ","300001","142","4060613","13.6","13.7","13.35","13.35","-","0.15","13.35","18","13.5","1","60.68"
"2414  ","精技  ","468220","186","8862456","18.95","19.05","18.85","18.95"," ","0","18.9","131","18.95","1","12.23"
"2415  ","錩新  ","1420018","687","29506923","21.3","21.35","20.4","20.9","-","0.3","20.85","35","20.9","49","9.17"
"2417  ","圓剛  ","11121345","2893","146427786","12.45","13.3","12.45","13.3","+","0.85","13.3","775","--","0","0.00"
"2419  ","仲琦  ","497002","232","7738132","15.55","15.7","15.5","15.5","+","0.05","15.5","2","15.55","5","59.62"
"2420  ","新巨  ","1027212","590","45095767","44.3","44.5","43.6","43.6","-","0.7","43.55","30","43.6","28","12.08"
"2421  ","建準  ","484644","292","9805768","20.25","20.35","20.15","20.3","-","0.15","20.25","24","20.3","11","12.85"
"2423  ","固緯  ","362000","123","7584400","21.1","21.2","20.75","21","-","0.1","20.95","1","21","4","18.58"
"2424  ","隴華  ","1345","5","49897","--","--","--","--"," ","0","39.2","1","39.5","8","6.78"
"2425  ","承啟  ","131456","74","3758016","28.8","28.85","28.35","28.55","-","0.25","28.55","4","28.75","3","10.98"
"2426  ","鼎元  ","484996","145","5976283","12.35","12.4","12.25","12.35"," ","0","12.35","55","12.4","72","0.00"
"2427  ","三商電","113000","52","983840","8.75","8.75","8.66","8.68","-","0.03","8.68","7","8.72","18","72.33"
"2428  ","興勤  ","133273","62","6150892","46.4","46.4","46","46.15","-","0.25","46.1","5","46.15","18","9.8"
"2429  ","銘旺科","1000","1","14450","14.45","14.45","14.45","14.45","X","0","13.4","1","14.5","1","0.00"
"2430  ","燦坤  ","66200","41","2109550","31.95","32","31.8","31.8","-","0.15","31.8","13","31.85","5","12.87"
"2431  ","聯昌  ","544205","307","13163189","24.3","24.3","24.1","24.15","+","0.05","24.15","5","24.2","1","17.13"
"2433  ","互盛電","57003","33","2516633","44","44.3","43.9","44.3"," ","0","44.25","25","44.3","2","13.38"
"2434  ","統懋  ","415960","127","3103214","7.55","7.62","7.38","7.44","-","0.22","7.43","9","7.48","1","18.6"
"2436  ","偉詮電","1910479","1133","63316750","33.1","33.45","33","33.05","-","0.05","33.05","61","33.1","2","34.79"
"2437  ","旺詮  ","152669","92","8815200","58","58","57.5","57.7","-","0.1","57.7","17","57.8","2","9.62"
"2438  ","翔耀  ","11157","12","129604","11.5","11.7","11.5","11.5","-","0.05","11.5","2","11.9","2","25"
"2439  ","美律  ","1488120","927","156500540","105.5","106","104.5","105","+","1","104.5","48","105","54","13.74"
"2440  ","太空梭","7095","4","71845","10.2","10.2","10.1","10.1","+","0.05","10","4","10.25","9","0.00"
"2441  ","超豐  ","497200","366","18724365","37.7","37.85","37.55","37.75","+","0.1","37.6","23","37.75","10","9.58"
"2442  ","新美齊","127223","47","1136304","8.9","9","8.9","9","+","0.05","8.9","22","9","12","12.5"
"2443  ","新利虹","217496","61","2324802","10.7","10.75","10.65","10.7"," ","0","10.65","7","10.7","30","2.71"
"2444  ","友旺  ","196361","91","3437462","17.65","17.7","17.4","17.6","-","0.05","17.45","2","17.6","11","0.00"
"2448  ","晶電  ","9244942","4431","547986621","59.2","59.8","58.8","59.7","+","1.5","59.6","13","59.7","37","31.93"
"2449  ","京元電","3182486","1901","84847622","26.7","26.75","26.55","26.6"," ","0","26.6","7","26.65","4","13.17"
"2450  ","神腦  ","127180","95","6390644","50.4","50.4","50.1","50.1"," ","0","50.1","1","50.3","3","23.19"
"2451  ","創見  ","576541","299","58380410","101","102.5","100.5","101.5","-","0.5","101","21","101.5","21","12.82"
"2453  ","凌群  ","258078","119","3660049","14.15","14.25","14.15","14.15"," ","0","14.15","50","14.2","66","14.44"
"2454  ","聯發科","8420451","5462","3842998460","456","458.5","453.5","458","+","4","457.5","336","458","41","16.05"
"2455  ","全新  ","1095003","751","35592994","32.7","32.7","32.4","32.4"," ","0","32.4","31","32.45","1","21.04"
"2456  ","奇力新","2418206","1307","109602870","45.8","46.3","44.6","45","-","0.6","45","50","45.05","6","18.83"
"2457  ","飛宏  ","511748","150","8475626","16.6","16.75","16.5","16.55","-","0.05","16.5","101","16.6","54","37.61"
"2458  ","義隆  ","3352317","1851","172861610","51.3","52.1","51","52","+","0.7","51.9","39","52","24","13.98"
"2459  ","敦吉  ","207741","148","8745103","42.25","42.4","42","42.1","-","0.15","42.1","1","42.2","3","10.63"
"2460  ","建通  ","50895","30","654408","12.95","12.95","12.8","12.8","-","0.05","12.8","8","12.9","8","26.12"
"2461  ","光群雷","116667","65","1864302","16","16","15.9","16"," ","0","15.95","10","16","12","16.16"
"2462  ","良得電","71553","56","1710282","24","24","23.85","23.85","-","0.15","23.85","3","23.9","1","12.62"
"2464  ","盟立  ","202653","121","5883070","29.05","29.1","28.9","28.9","-","0.15","28.9","7","29","1","15.29"
"2465  ","麗臺  ","362271","158","4296367","11.9","12","11.7","11.75"," ","0","11.75","2","11.8","10","0.00"
"2466  ","冠西電","107696","67","3719522","34.55","34.65","34.4","34.55"," ","0","34.55","1","34.6","6","0.00"
"2467  ","志聖  ","194148","145","4241878","21.95","22.1","21.75","21.75","-","0.2","21.75","15","21.85","52","15.1"
"2468  ","華經  ","75155","41","964657","12.7","12.9","12.7","12.85","+","0.15","12.8","10","12.85","1","20.08"
"2471  ","資通  ","85042","41","1315100","15.6","15.75","15.35","15.45","-","0.15","15.4","19","15.5","2","21.46"
"2472  ","立隆電","661734","311","25881876","39.15","39.3","38.65","39.2","+","0.2","39.2","46","39.25","19","11.3"
"2474  ","可成  ","5956034","3845","1714217758","287","289.5","285","288","+","4","288","13","288.5","15","14.82"
"2475  ","華映  ","1308208","157","1916055","1.5","1.5","1.45","1.47","-","0.02","1.47","51","1.48","17","0.00"
"2476  ","鉅祥  ","133805","90","3552390","26.5","26.65","26.45","26.6","+","0.25","26.5","1","26.6","8","11.82"
"2477  ","美隆電","539310","236","7386061","13.2","13.9","13.2","13.8","+","0.5","13.7","3","13.8","60","0.00"
"2478  ","大毅  ","221485","94","3841712","17.4","17.45","17.3","17.3"," ","0","17.3","5","17.35","7","38.44"
"2480  ","敦陽科","112600","78","3218689","28.65","28.7","28.5","28.65"," ","0","28.65","12","28.7","8","19.49"
"2481  ","強茂  ","664287","172","9348968","14.05","14.15","14","14.05","-","0.05","14.05","39","14.1","5","78.06"
"2482  ","連宇  ","259109","88","4496274","17.35","17.45","17.3","17.3","+","0.05","17.3","2","17.35","14","0.00"
"2483  ","百容  ","307494","133","7221434","23.6","23.85","23.35","23.4","-","0.25","23.4","19","23.5","6","13.6"
"2484  ","希華  ","785349","339","17949936","22.85","23","22.75","22.85"," ","0","22.85","81","22.9","266","15.98"
"2485  ","兆赫  ","1007508","445","31764318","31.55","31.8","31.3","31.35","+","0.05","31.35","18","31.4","3","16.95"
"2486  ","一詮  ","385233","137","7321337","19","19.15","18.9","19.1","+","0.15","19.05","4","19.1","36","15.79"
"2488  ","漢平  ","110050","62","2300687","21","21.2","20.85","20.85","-","0.15","20.85","17","20.9","2","7.09"
"2489  ","瑞軒  ","817862","459","14260705","17.45","17.55","17.4","17.4","-","0.05","17.4","24","17.45","43","15"
"2491  ","吉祥全","287959","132","4130076","14.65","14.65","14.15","14.25","-","0.45","14.2","35","14.25","10","2.88"
"2492  ","華新科","10209356","2701","148212897","14.5","14.7","14.3","14.6"," ","0","14.55","246","14.6","356","39.46"
"2493  ","揚博  ","141062","103","4107498","29.1","29.2","29.05","29.15","+","0.1","29.1","3","29.15","25","10.64"
"2495  ","普安  ","618512","287","10439100","17.05","17.1","16.7","16.9","-","0.25","16.85","3","16.9","25","52.81"
"2496  ","卓越  ","50","1","373","--","--","--","--"," ","0","--","0","6.99","1","0.00"
"2497  ","怡利電","270329","203","19646220","72.5","73.2","72","72.5"," ","0","72.4","10","72.5","8","17.68"
"2498  ","宏達電","8305476","1944","1225626187","149","149","147","147.5","-","1","147.5","82","148","150","91.05"
"2499  ","東貝  ","3879553","1244","121234896","31.15","31.45","30.9","31.2","+","0.05","31.2","11","31.35","17","18.03"
"2501  ","國建  ","541540","197","9108136","16.95","16.95","16.75","16.75","-","0.1","16.75","3","16.8","45","32.84"
"2504  ","國產  ","777325","231","8050899","10.4","10.45","10.3","10.35","-","0.1","10.35","169","10.4","79","14.79"
"2505  ","國揚  ","527962","149","7284074","13.65","13.95","13.65","13.8","+","0.15","13.75","23","13.8","4","5.02"
"2506  ","太設  ","366057","101","4773227","13","13.1","13","13.05","+","0.05","13.05","1","13.1","48","5.75"
"2509  ","全坤建","125000","21","2927550","23.5","23.6","23.4","23.6","+","0.1","23.5","11","23.6","1","0.00"
"2511  ","太子  ","863160","244","10371103","12","12.1","11.95","12"," ","0","12","44","12.05","2","7.23"
"2514  ","龍邦  ","691381","114","15780891","22.9","23.25","22.45","22.8","-","0.1","22.8","50","22.95","10","23.27"
"2515  ","中工  ","1221595","298","9244958","7.6","7.6","7.54","7.55","-","0.03","7.55","136","7.57","1","22.88"
"2516  ","新建  ","297500","73","2559973","8.61","8.61","8.59","8.61"," ","0","8.6","11","8.61","39","7.55"
"2520  ","冠德  ","1349017","414","37928178","28.15","28.25","28.05","28.1"," ","0","28.1","81","28.15","4","6.03"
"2524  ","京城  ","88728","34","2334936","26.35","26.45","26.2","26.3","-","0.05","26.3","8","26.35","12","10.4"
"2527  ","宏璟  ","87000","62","1792550","20.8","20.8","20.5","20.7","+","0.15","20.5","8","20.7","17","3.94"
"2528  ","皇普  ","17817","7","213612","11.85","12","11.85","12"," ","0","12","5","12.15","9","5.61"
"2530  ","華建  ","273017","84","4345708","15.8","16.1","15.75","16.1","+","0.3","16.05","5","16.1","26","0.00"
"2534  ","宏盛  ","752369","374","14176516","19.2","19.2","18.75","18.8","-","0.3","18.8","18","18.85","3","67.14"
"2535  ","達欣工","172548","90","3430860","19.95","19.95","19.85","19.85"," ","0","19.85","11","19.95","14","7.52"
"2536  ","宏普  ","133331","51","3146643","23.65","23.7","23.5","23.65"," ","0","23.55","3","23.65","11","5.93"
"2537  ","聯上發","260709","66","2950560","11.3","11.4","11.3","11.4","+","0.1","11.35","1","11.4","4","7.76"
"2538  ","基泰  ","1030774","352","20010665","19.55","19.55","19.35","19.4","-","0.1","19.35","55","19.4","31","5.13"
"2539  ","櫻花建","15080","9","489118","32.6","32.6","32.3","32.3","-","0.25","32.7","18","33","24","4.74"
"2540  ","愛山林","6236","9","222765","35.3","36.2","35.15","36.2","+","0.15","36.15","1","36.3","2","10.62"
"2542  ","興富發","1612868","1094","104722638","65.4","65.4","64.6","64.9","-","0.2","64.9","4","65","4","5.86"
"2543  ","皇昌  ","158655","48","1752305","11.1","11.15","10.85","11.1"," ","0","11.1","1","11.15","12","6.73"
"2545  ","皇翔  ","151010","85","6761647","45.1","45.1","44.65","44.65","-","0.3","44.65","4","44.75","1","15.08"
"2546  ","根基  ","76003","44","1253198","16.45","16.65","16.4","16.5","+","0.05","16.5","3","16.55","6","8.82"
"2547  ","日勝生","1438349","747","23451757","16.45","16.45","16.2","16.3","-","0.05","16.25","37","16.3","9","8.45"
"2548  ","華固  ","492353","433","27608300","56.1","56.3","55.9","56.1","+","0.2","56","5","56.1","3","0.00"
"2597  ","潤弘  ","45003","37","2896495","64.4","64.5","64.2","64.4","+","0.1","64.3","7","64.4","3","7.29"
"2601  ","益航  ","422736","217","7019892","16.6","16.7","16.55","16.6","+","0.1","16.6","25","16.65","10","92.22"
"2603  ","長榮  ","12977206","4508","291572027","22.2","22.7","22.05","22.7","+","0.75","22.65","25","22.7","59","78.28"
"2605  ","新興  ","459810","300","11580907","25.4","25.4","25.05","25.2","-","0.2","25.2","27","25.25","23","13.77"
"2606  ","裕民  ","495296","274","23720146","47.9","48","47.8","48","+","0.1","47.9","45","48","50","16.78"
"2607  ","榮運  ","760185","227","14079822","18.7","18.7","18.4","18.5","-","0.15","18.5","3","18.55","72","33.64"
"2608  ","大榮  ","168569","105","6574112","39.2","39.2","38.8","38.9","-","0.3","38.85","12","38.9","5","19.95"
"2609  ","陽明  ","7402170","1744","119626542","16.15","16.3","16","16.3","+","0.3","16.25","108","16.3","381","33.27"
"2610  ","華航  ","16056406","3634","242204095","15.1","15.25","14.95","15","-","0.1","15","248","15.05","71","0.00"
"2611  ","志信  ","303925","150","3302189","10.85","10.95","10.8","10.8","-","0.05","10.8","18","10.85","2","14.03"
"2612  ","中航  ","53095","37","1778453","33.65","33.75","33.25","33.25","-","0.4","33.25","11","33.5","1","28.91"
"2613  ","中櫃  ","93221","48","1738531","18.65","18.7","18.6","18.65","-","0.1","18.65","10","18.7","16","12.03"
"2614  ","東森  ","1364425","437","13718900","10.1","10.15","10","10.05","-","0.05","10.05","23","10.1","79","0.00"
"2615  ","萬海  ","17166216","7303","575666810","34.05","34.05","33.1","33.5","+","0.5","33.5","23","33.55","2","15.51"
"2616  ","山隆  ","10","8","242","--","--","--","--"," ","0","24.4","2","24.45","1","12.02"
"2617  ","台航  ","164215","79","3378529","20.9","20.9","20.45","20.6","+","0.1","20.6","97","20.65","10","29.01"
"2618  ","長榮航","18036608","6094","405227921","22.3","22.6","22.25","22.4","+","0.3","22.4","261","22.45","91","0.00"
"2634  ","漢翔  ","1059123","776","38719264","36.65","36.65","36.45","36.45","-","0.1","36.45","77","36.5","11","28.93"
"2637  ","F-慧洋","1195981","703","44630836","37.6","37.6","37.1","37.15","-","0.35","37.1","31","37.15","1","10.89"
"2642  ","宅配通","133000","110","6194450","46.55","46.8","46.4","46.5","+","0.1","46.5","3","46.55","1","29.62"
"2701  ","萬企  ","54614","35","824310","15.1","15.15","15.05","15.05"," ","0","15.05","3","15.15","6","21.2"
"2702  ","華園  ","3263","6","53072","16.2","16.3","16.2","16.3","+","0.1","16.2","19","16.3","5","30.19"
"2704  ","國賓  ","281024","87","7782013","27.8","27.85","27.55","27.7","-","0.15","27.65","2","27.7","1","24.3"
"2705  ","六福  ","764240","207","8938655","11.7","11.8","11.65","11.75","+","0.05","11.7","81","11.75","58","0.00"
"2706  ","第一店","114869","52","2311610","20.1","20.2","20.1","20.15","+","0.1","20.1","67","20.15","10","20.15"
"2707  ","晶華  ","71918","71","22959096","321.5","321.5","318.5","319"," ","0","319","1","320","19","34.08"
"2712  ","遠雄來","32000","12","679300","21.3","21.3","21.2","21.2","-","0.3","21.2","10","21.35","4","22.32"
"2722  ","夏都  ","0","0","0","--","--","--","--"," ","0","43.9","1","44.45","2","25.82"
"2723  ","F-美食","239000","176","38855500","164.5","164.5","162","163.5","-","2","162.5","1","163.5","6","56.57"
"2727  ","王品  ","307983","190","87257172","285","285.5","282","282.5","-","3","282","26","283","13","25.94"
"2731  ","雄獅  ","5000","4","469800","93.8","94","93.8","94","+","0.3","94","2","94.4","1","16.38"
"2801  ","彰銀  ","3377383","1062","61086679","18.1","18.15","18","18.15","+","0.1","18.1","588","18.15","159","13.15"
"2809  ","京城銀","1934678","1382","64681574","33.55","33.65","33.3","33.45","-","0.1","33.45","90","33.55","48","7.76"
"2812  ","台中銀","2347031","408","24522209","10.45","10.5","10.4","10.45"," ","0","10.4","1,821","10.45","11","8.16"
"2816  ","旺旺保","119685","92","2961867","24.95","24.95","24.65","24.7","-","0.25","24.7","2","24.75","21","8.46"
"2820  ","華票  ","567814","191","6539904","11.5","11.55","11.5","11.55","+","0.05","11.5","338","11.55","183","12.03"
"2823  ","中壽  ","3081902","915","82142470","26.7","26.75","26.55","26.75","+","0.1","26.7","24","26.75","46","14.08"
"2832  ","台產  ","55082","29","1256009","22.9","22.9","22.75","22.75","-","0.15","22.75","52","22.8","1","12.23"
"2833  ","台壽保","8681427","2863","201496541","22.65","23.45","22.5","23.3","+","0.65","23.25","52","23.3","65","15.33"
"2833A ","台壽甲","0","0","0","--","--","--","--"," ","0","37.3","22","37.8","1","0.00"
"2834  ","臺企銀","12558622","2534","116829580","9.29","9.32","9.27","9.32","+","0.06","9.31","21","9.32","484","9.23"
"2836  ","高雄銀","221112","83","2002620","9.06","9.09","9.05","9.07","+","0.02","9.05","131","9.07","14","14.17"
"2838  ","聯邦銀","461936","121","4871022","10.55","10.6","10.5","10.55"," ","0","10.55","137","10.6","417","8.44"
"2841  ","台開  ","587752","111","6664889","11.35","11.4","11.3","11.35"," ","0","11.3","133","11.35","45","34.39"
"2845  ","遠東銀","1564068","347","16415551","10.5","10.55","10.45","10.5"," ","0","10.45","1,319","10.5","82","9.13"
"2847  ","大眾銀","1337357","266","13989101","10.5","10.55","10.45","10.45"," ","0","10.45","151","10.5","332","10.35"
"2849  ","安泰銀","46582","30","685054","14.9","14.9","14.65","14.7","-","0.1","14.7","19","14.75","3","7.7"
"2850  ","新產  ","201238","96","4944850","24.55","24.7","24.45","24.5","-","0.15","24.5","21","24.6","19","6.35"
"2851  ","中再保","66071","31","1107335","16.8","16.8","16.7","16.8","+","0.1","16.75","1","16.8","47","12.44"
"2852  ","第一保","58916","42","919196","15.6","15.65","15.55","15.6","-","0.05","15.55","2","15.65","72","10.26"
"2855  ","統一證","224886","113","3626076","16.1","16.2","16.1","16.15","+","0.05","16.1","22","16.15","9","13.13"
"2856  ","元富證","1152815","293","11913548","10.4","10.45","10.3","10.3","-","0.1","10.3","191","10.35","3","12.12"
"2867  ","三商壽","401596","167","6855206","17.1","17.1","17","17.05"," ","0","17.05","41","17.1","106","9.86"
"2880  ","華南金","5469498","1635","96641853","17.8","17.8","17.6","17.7","-","0.1","17.65","26","17.7","94","13.51"
"2881  ","富邦金","21667889","5716","1151865864","53.1","53.5","52.9","52.9","+","0.2","52.9","224","53","254","9.1"
"2882  ","國泰金","18912030","6739","898029519","47.5","47.65","47.3","47.6","+","0.25","47.55","61","47.6","267","12.8"
"2883  ","開發金","38493684","7759","416233091","10.85","10.85","10.75","10.8"," ","0","10.75","2,304","10.8","80","16.12"
"2884  ","玉山金","9214630","1681","180258871","19.6","19.6","19.5","19.6"," ","0","19.55","50","19.6","2,078","13.52"
"2885  ","元大金","11608458","2734","180327682","15.55","15.6","15.45","15.5"," ","0","15.5","19","15.55","900","9.81"
"2886  ","兆豐金","10101701","2587","247454955","24.4","24.6","24.3","24.6","+","0.25","24.55","40","24.6","443","10.88"
"2887  ","台新金","11868689","2307","157282366","13.3","13.3","13.2","13.3","+","0.1","13.25","91","13.3","1,582","8.36"
"2888  ","新光金","9766115","2177","86310335","8.82","8.85","8.82","8.85","+","0.03","8.84","210","8.85","683","14.51"
"2889  ","國票金","3128353","526","26262959","8.39","8.42","8.37","8.42","+","0.04","8.41","110","8.42","117","11.53"
"2890  ","永豐金","7267812","1709","93887292","12.9","12.95","12.85","12.95","+","0.05","12.9","1,921","12.95","313","8.35"
"2891  ","中信金","25745609","5768","526081346","20.5","20.55","20.35","20.5","-","0.05","20.45","48","20.5","703","7.71"
"2892  ","第一金","5738119","1215","106760913","18.6","18.7","18.55","18.65","+","0.1","18.6","43","18.65","587","12.95"
