

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="03014P","富邦14","49000","5","49910","1.01","1.03","1.01","1.03","-","0.08","1.02","13","1.03","13","0.00"
="03014X","元展14","0","0","0","--","--","--","--"," ","0","9.25","106","9.3","43","18.65"
="03015P","富邦15","140000","4","11200","0.08","0.08","0.08","0.08","+","0.02","0.07","10","0.08","60","0.00"
="03015X","元展15","0","0","0","--","--","--","--"," ","0","9.65","80","9.7","28","19.6"
="03016P","富邦16","142000","6","64700","0.5","0.5","0.45","0.45","-","0.05","0.45","10","0.47","10","0.00"
="03016X","元展16","0","0","0","--","--","--","--"," ","0","2.67","150","2.7","50","10.8"
="03017P","富邦17","547000","10","174270","0.34","0.34","0.3","0.31","-","0.04","0.3","13","0.31","10","0.00"
="03017X","元展17","2000","2","4980","2.49","2.49","2.49","2.49"," ","0","2.49","59","2.51","29","12.95"
="03018P","富邦25","100000","3","36700","0.4","0.4","0.35","0.35","-","0.06","0.35","10","0.36","10","0.00"
="03018X","元展18","2000","1","4540","2.27","2.27","2.27","2.27","X","0","2.27","108","2.29","28","17.7"
="03019P","國泰8V","0","0","0","--","--","--","--"," ","0","2.15","100","2.22","100","0.00"
="03019X","元展19","0","0","0","--","--","--","--"," ","0","2.16","78","2.17","30","16.15"
="03020P","5L永豐","1267000","42","101260","0.08","0.08","0.07","0.08"," ","0","0.08","100","0.09","251","0.00"
="03020X","元展20","0","0","0","--","--","--","--"," ","0","2.38","130","2.39","27","18.15"
="03021P","5M永豐","0","0","0","--","--","--","--"," ","0","0.01","599","0.02","110","0.00"
="03021X","元展21","11000","2","211300","19.3","19.3","19.2","19.2"," ","0","19.2","31","19.4","30","38.6"
="03022P","5N永豐","1400000","15","14000","0.01","0.01","0.01","0.01","-","0.01","0.01","311","0.02","413","0.00"
="03022X","富展01","7000","5","97800","13.9","14.2","13.8","14.2","+","0.3","14.3","5","14.4","5","86.2"
="03023P","2Y群益","0","0","0","--","--","--","--"," ","0","--","0","--","0","0.00"
="03023X","富展02","0","0","0","--","--","--","--"," ","0","18.3","5","18.4","100","30.68"
